hour_of_day,day_of_week,mood_label,predicted_mood_label
14,7,4,4.0
14,7,4,3.0
14,7,4,3.0
14,7,4,4.0
14,7,2,4.0
14,7,4,4.0
14,7,4,4.0
14,7,4,4.0
15,7,1,3.0
15,7,1,3.0
15,7,1,3.0
15,7,4,4.0
15,7,4,4.0
15,7,4,4.0
15,7,4,4.0
15,7,4,4.0
15,7,0,0.0
15,7,4,4.0
15,7,2,2.0
15,7,1,1.0
15,7,1,1.0
15,7,1,1.0
15,7,4,4.0
15,7,4,4.0
17,7,3,3.0
17,7,3,3.0
17,7,3,3.0
17,7,3,3.0
17,7,4,4.0
17,7,4,4.0
17,7,4,4.0
17,7,4,4.0
17,7,4,4.0
17,7,4,4.0
17,7,4,4.0
17,7,4,4.0
17,7,4,4.0
17,7,4,4.0
17,7,4,4.0
17,7,4,4.0
17,7,4,4.0
17,7,4,4.0
18,7,1,1.0
18,7,1,1.0
18,7,1,1.0
18,7,1,1.0
18,7,1,1.0
18,7,1,1.0
18,7,1,1.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,3,3.0
18,7,3,3.0
18,7,3,3.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,4,4.0
18,7,2,2.0
18,7,2,2.0
18,7,2,2.0
18,7,2,2.0
18,7,2,2.0
18,7,2,2.0
12,5,3,3.0
12,5,3,3.0
12,5,3,3.0
12,5,3,3.0
12,5,3,3.0
12,5,3,3.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,4,4.0
12,5,3,3.0
12,5,3,3.0
12,5,3,3.0
12,5,3,3.0
12,5,3,3.0
12,5,3,3.0
12,5,3,3.0
12,5,3,3.0
12,5,3,3.0
12,5,3,3.0
12,5,3,3.0
13,5,4,4.0
13,5,4,4.0
13,5,4,4.0
13,5,4,4.0
13,5,4,4.0
13,5,4,4.0
13,5,4,4.0
13,5,0,0.0
13,5,0,0.0
13,5,0,0.0
13,5,0,0.0
13,5,0,0.0
13,5,0,0.0
13,5,0,0.0
13,5,0,0.0
13,5,0,0.0
14,5,0,0.0
14,5,0,0.0
14,5,0,0.0
14,5,0,0.0
20,2,3,3.0
20,2,3,3.0
20,2,3,3.0
20,2,3,3.0
20,2,3,3.0
20,2,3,3.0
20,2,3,3.0
20,2,3,3.0
20,2,3,3.0
20,2,3,3.0
20,2,4,4.0
20,2,4,4.0
20,2,4,4.0
20,2,4,4.0
20,2,4,4.0
20,2,4,4.0
20,2,4,4.0
20,2,4,4.0
20,2,4,4.0
20,2,4,4.0
20,2,4,4.0
20,2,4,4.0
20,2,4,4.0
20,2,4,4.0
20,2,4,4.0
20,2,4,4.0
20,2,4,4.0
20,2,4,4.0
20,2,4,4.0
20,2,4,4.0
20,2,4,4.0
20,2,4,4.0
20,2,4,4.0
20,2,4,4.0
20,2,4,4.0
20,2,2,2.0
20,2,2,2.0
20,2,2,2.0
21,2,4,4.0
21,2,4,4.0
21,2,4,4.0
21,2,4,4.0
21,2,4,4.0
21,2,4,4.0
21,2,4,4.0
21,2,4,4.0
22,2,2,2.0
22,2,2,2.0
22,2,2,2.0
22,2,2,2.0
22,2,2,2.0
22,2,2,2.0
22,2,2,2.0
22,2,2,2.0
22,2,2,2.0
22,2,2,2.0
22,2,2,2.0
21,1,3,3.0
21,1,3,3.0
21,1,0,0.0
21,1,0,0.0
21,1,0,0.0
21,1,0,0.0
21,1,0,0.0
21,1,0,0.0
21,1,0,0.0
21,1,0,0.0
21,1,0,0.0
21,1,2,2.0
21,1,2,2.0
21,1,2,2.0
21,1,2,2.0
21,1,2,2.0
21,1,2,2.0
21,1,2,2.0
21,1,2,2.0
21,1,3,3.0
21,1,4,4.0
21,1,4,4.0
21,1,4,4.0
21,1,4,4.0
21,1,4,4.0
21,1,4,4.0
21,1,4,4.0
22,1,2,2.0
22,1,2,2.0
22,1,2,2.0
22,1,2,2.0
22,1,2,2.0
22,1,2,2.0
22,1,2,2.0
20,2,4,4.0
21,1,3,3.0
21,1,3,3.0
21,1,4,4.0
21,1,4,4.0
21,1,4,4.0
22,1,2,2.0
22,2,2,2.0
