hour_of_day,shift_magnitude,shift_count,avg_valence_change,avg_energy_change
12,Stable,292,0.0,0.001
12,Minor_Shift,5,0.069,-0.041
13,Stable,52,0.0,0.0
13,Minor_Shift,2,-0.006,-0.084
14,Stable,55,0.0,0.0
14,Minor_Shift,7,0.012,-0.01
14,Major_Shift,1,0.568,0.257
15,Stable,95,-0.003,-0.003
15,Minor_Shift,5,0.052,0.081
17,Stable,133,0.0,-0.001
17,Minor_Shift,2,-0.014,-0.278
17,Major_Shift,1,0.202,0.539
18,Stable,357,0.0,0.0
18,Minor_Shift,8,-0.039,-0.007
20,Stable,186,0.001,0.001
20,Minor_Shift,3,-0.106,-0.233
21,Stable,210,0.0,0.001
21,Minor_Shift,5,-0.117,-0.027
21,Major_Shift,1,0.469,0.669
22,Stable,82,0.001,-0.001
22,Minor_Shift,1,-0.154,0.289
